Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
29-01-2026,NSEEQ,Buy,KERNEX-EQ,7.0,1214.2,402594001.0,KERNEX,BUY,7,1214.2
10-02-2026,NSEEQ,Buy,LUMAXTECH-EQ,1.0,1591.0,406751476.0,LUMAXTECH,BUY,1,1591.0
11-02-2026,NSEEQ,Buy,LUMAXTECH-EQ,1.0,1714.7,401554575.0,LUMAXTECH,BUY,1,1714.7
12-02-2026,NSEEQ,Sell,LUMAXTECH-EQ,2.0,1755.0,408006910.0,LUMAXTECH,SELL,2,1755.0
02-03-2026,NSEEQ,Buy,MAHABANK-EQ,20.0,71.9,409090382.0,MAHABANK,BUY,20,71.9
05-02-2026,NSEEQ,Buy,METROPOLIS-EQ,3.0,1920.0,400828992.0,METROPOLIS,BUY,3,1920.0
13-02-2026,NSEEQ,Buy,MOSCHIP-EQ,5.0,190.89,405913727.0,MOSCHIP,BUY,5,190.89
21-01-2026,NSEEQ,Buy,MOSCHIP-EQ,5.0,175.43,404380241.0,MOSCHIP,BUY,5,175.43
28-01-2026,NSEEQ,Sell,MOSCHIP-EQ,2.0,184.38,404225147.0,MOSCHIP,SELL,2,184.38
28-01-2026,NSEEQ,Sell,MOSCHIP-EQ,1.0,184.38,404225148.0,MOSCHIP,SELL,1,184.38
28-01-2026,NSEEQ,Sell,MOSCHIP-EQ,2.0,184.33,404225149.0,MOSCHIP,SELL,2,184.33
28-01-2026,NSEEQ,Buy,MOSCHIP-EQ,5.0,173.71,400020926.0,MOSCHIP,BUY,5,173.71
10-02-2026,NSEEQ,Buy,MOTHERSON-EQ,1.0,129.3,406737817.0,MOTHERSON,BUY,1,129.3
11-02-2026,NSEEQ,Buy,MOTHERSON-EQ,1.0,135.22,401547312.0,MOTHERSON,BUY,1,135.22
19-02-2026,NSEEQ,Sell,MOTHERSON-EQ,2.0,133.16,401390446.0,MOTHERSON,SELL,2,133.16
01-02-2026,NSEEQ,Buy,MTARTECH-EQ,2.0,2972.0,402902991.0,MTARTECH,BUY,2,2972.0
01-02-2026,NSEEQ,Buy,MTARTECH-EQ,3.0,2972.0,402902994.0,MTARTECH,BUY,3,2972.0
05-02-2026,NSEEQ,Sell,MTARTECH-EQ,5.0,3228.0,402227892.0,MTARTECH,SELL,5,3228.0
23-02-2026,NSEEQ,Buy,MTARTECH-EQ,2.0,3695.0,404310019.0,MTARTECH,BUY,2,3695.0
02-02-2026,NSEEQ,Buy,NETWEB-EQ,1.0,3310.0,402901427.0,NETWEB,BUY,1,3310.0
12-02-2026,NSEEQ,Buy,NETWEB-EQ,1.0,3183.0,407993322.0,NETWEB,BUY,1,3183.0
16-02-2026,NSEEQ,Buy,NETWEB-EQ,1.0,3071.0,406422147.0,NETWEB,BUY,1,3071.0
